,english,czech
317,Taoism,taoismus
318,teleological behaviorism,teleologický behaviorismus
319,teleologism,teleologismus
320,theism,teismus
321,theological noncognitivism,teologický nonkognitivismus
322,Thomism,tomismus
323,totalitarianism,totalitarismus
324,transcendental idealism,transcendentální idealismus
325,transcendentalism,transcendentalismus
326,transhumanism,transhumanismus
327,transtheism,transteismus
328,truth,pravda
329,truth claim,tvrzení pravdy
330,universalism,univerzalismus
331,utilitarianism,utilitarismus
332,utopianism,utopismus
333,value pluralism,hodnotový pluralismus
334,verificationism,verifikacionismus
335,vitalism,vitalismus
336,voluntarism,voluntarismus
337,voluntaryism,dobrovolnictví
338,weak agnosticism,slabý agnosticismus
339,weak atheism,slabý ateismus
340,Young Earth creationism,kreacionismus mladé Země
341,youthism,youthismus
342,Zen Buddhism,zenový buddhismus
343,Zoroastrianism,zoroastrismus
